T30,Gross domestic expenditure on research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
710,South Africa,2005,Gross domestic expenditure on R & D: Business enterprises (%),43.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2005,Gross domestic expenditure on R & D: Government (%),38.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2005,Gross domestic expenditure on R & D: Higher education (%),3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2005,Gross domestic expenditure on R & D: Private non-profit (%),1.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2005,Gross domestic expenditure on R & D: Funds from abroad (%),13.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2010,Gross domestic expenditure on R & D: Business enterprises (%),40.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2010,Gross domestic expenditure on R & D: Government (%),44.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2010,Gross domestic expenditure on R & D: Higher education (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2010,Gross domestic expenditure on R & D: Private non-profit (%),3.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2010,Gross domestic expenditure on R & D: Funds from abroad (%),12.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2015,Gross domestic expenditure on R & D: Business enterprises (%),38.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2015,Gross domestic expenditure on R & D: Government (%),44.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2015,Gross domestic expenditure on R & D: Higher education (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2015,Gross domestic expenditure on R & D: Private non-profit (%),3.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
710,South Africa,2015,Gross domestic expenditure on R & D: Funds from abroad (%),13,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2005,Gross domestic expenditure on R & D: Business enterprises (%),46.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2005,Gross domestic expenditure on R & D: Government (%),43,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2005,Gross domestic expenditure on R & D: Higher education (%),4.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2005,Gross domestic expenditure on R & D: Funds from abroad (%),5.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2010,Gross domestic expenditure on R & D: Business enterprises (%),43,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2010,Gross domestic expenditure on R & D: Government (%),46.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2010,Gross domestic expenditure on R & D: Higher education (%),3.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2010,Gross domestic expenditure on R & D: Funds from abroad (%),5.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2015,Gross domestic expenditure on R & D: Business enterprises (%),45.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2015,Gross domestic expenditure on R & D: Government (%),40.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2015,Gross domestic expenditure on R & D: Higher education (%),4.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2015,Gross domestic expenditure on R & D: Funds from abroad (%),8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
724,Spain,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
144,Sri Lanka,2000,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
144,Sri Lanka,2000,Gross domestic expenditure on R & D: Business enterprises (%),7.7,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
144,Sri Lanka,2000,Gross domestic expenditure on R & D: Government (%),51.7,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
